MRI,Canary Wharf,Orpington
MRI 1 Part,£545,£425
MRI 2 Parts,£842,£580
MRI 3 Parts,"£1,029",£770
MRI 4 Parts,"£1,271",£990
MRI 5 Parts,"£1,513","£1,210"
MRI 6 Parts,"£1,755","£1,430"
MRI Contrast,£121,£110
MRI Prostate,"£1,084",£875
MRI Arthogram,"£1,029",£825
MR Angiography (1 part),£968,£770
MRI Liver,£908,£715
MRI Renal,£908,£715
MRI Gynae / Pelvic,"£1,084",£875
MRI Enteroclysis (Small Bowel),"£1,089",£825
MRI – Full Body,"£2,178","£1,870"
,,
,,
CT,Canary Wharf,Orpington
CT 1 Part,£666,£495
CT 2 Parts,£908,£715
CT 3 Parts,"£1,150",£935
CT 4 Parts,"£1,392","£1,155"
CT Contrast,£121,£110
CT Angiogram,"£1,089",£880
CTCA (including calcium scoring),"£1,392","£1,155"
CT Arthrogram,£968,£770
CT Colonography,"£1,067",£860
CT Cervical Epidural,"£1,694","£1,210"
CT Facet Injection into 2 Joints,"£2,178","£1,870"
CT Calcium Scoring,£666,£495
CT Urogram,£908,£715
,,
,,
Ultrasound,Canary Wharf,Orpington
Ultrasound Abdomen,£374,£305
Ultrasound Pelvis,£374,£259
Ultrasound Abdomen Including Pelvis,£545,£470
Ultrasound Aorta,£374,£305
Ultrasound MSK 1 PART,£374,£305
Ultrasound MSK 2 PARTS,£545,£385
Ultrasound Testes,£374,£305
Ultrasound Thyroid,£374,£302
Ultrasound Neck,£374,£305
Ultrasound Transvaginal,£380,£259
Ultrasound Soft Tissue / Tendon,£374,£305
Ultrasound Chest,£374,£305
Ultrasound Doppler Abdomen,£545,£415
Ultrasound Doppler Penile,£545,£415
Ultrasound Doppler Aorta (Including Duplex),£545,£415
Ultrasound Vascular & dopplcr,£545,£415
Ultrasound 2 Parts Vascular & Doppler,£666,£495
Ultrasound Flow Rate,£61,£55
Ultrasound DVT One LEG,£424,£330
Ultrasound DVT Two LEG,£605,£495
Ultrasound Guided Biopsy,"£1,700",£715
Ultrasound Guided FNA,£726,£605
Ultrasound Guided Injection,£787,£450
Blood Injection (PRP),£512,–
Ultrasound Transrectal,£495,£410
Early Pregnancy Scan,£182,–
,,
,,
,,
X-Ray,Canary Wharf,Orpington
X-Ray Chest,£154,£90
XR Lumbar Spine,£154,£120
XR Pelvis,£154,£120
XR SACRUM SPINE,£154,£120
XRAY THORACIC SPINE,£154,£120
XR HIP,£154,£120
XR ABDOMEN,£154,£120
XR SKULL – 2 OR MORE VIEWS,£154,£120
XR SHOULDER,£154,£120
XR HUMERUS,£154,£120
XR ELBOW,£154,£120
XR FOREARM,£154,£120
XRAY WRIST 2 VIEWS,£154,£120
XRAY HAND 2 VIEWS,£154,£120
XRAY FINGERS 2 VIEWS,£154,£120
XR KNEE,£154,£120
XR TIBIA AND FIBULA,£154,£120
XRAY ANKLE 2 VIEWS OR MORE,£154,£120
XRAY Foot,£154,£120
XRAY TOE 2 VIEWS,£154,£120
XR COCCYX SPINE,£154,£120
XR CLAVICLE,£154,£120
XR FEMUR,£154,£120
XR FACIAL BONES,£154,£120
,,
,,
Cardiology,Canary Wharf,Orpington
ECG,£187,£139
Echocardiogram – Cardiologist,£545,£574
Echocardiogram – Physiologist,–,£382
24 Hr ECG/Holter Monitor Reported,£391,£332
48 Hr ECG/Holter Monitor Reported,–,£587
72 hr ECG/Holter Monitor,£567,£576
24 HR B/P + REPORT,£391,£281
Exercise Stress ECG,£578,–
Stress Echocardiogram + Report,"£1,150",–
Ultrasound Echocardiogram – Physiologist,£545,£382
CTCA,–,"£1,155"
7 Day ECG or 5 day ECG,–,£752
