Name,Specialization,Services Offered
Aathavan Loganayagam,Consultant Gastroenterologist,"Gastroenterology, Neurology"
Abdul Kasem,"Oncoplastic, Reconstructive & Aesthetic Breast Surgery",Plastic surgery
Abhishek Gupta,Consultant Urogynaecologist,Women's health
Abuchi Okaro,Consultant Surgeon,General Surgery
Adam Gaunt,"Ear, Nose & Throat Consultant, Head and Neck Surgeon","Ears, Nose & Throat (ENT)"
Adam Harris,Consultant Physician & Gastroenterologist,"Gastroenterology, Neurology"
Aftab Ala,Consultant Hepatologist and Gastroenterologist,"Gastroenterology, Haematology, Neurology"
Ahmad Almushatat,Consultant Urologist,Renal services
Ali Ghoz,Trauma & Orthopaedic Surgeon,Orthopaedics
Amer Khan,Consultant Orthopaedic & Sports Injury Surgeon,Orthopaedics
Anahit Zakaryan,Consultant Gynaecologist,Women's health
Anil Desai,Oncoplastic Breast Surgeon,Breast Ultrasound
Anil Kumar Taneja,Consultant Cardiologist,"Audiology, Cardiology"
Anil Prasanna,Consultant Orthopaedic Surgeon,Orthopaedics
Anisha Arora,General Medical Practice,Private GP services
Anoop Anugraha,Orthopaedic Foot & Ankle Surgeon,Orthopaedics
Aparna Bhat,Dermatologist,"Dermatology, Haematology, Rheumatology"
Arabella Staniforth,Private GP,Private GP services
Bal Dhinsa,Orthopaedic Foot & Ankle Surgeon,Orthopaedics
Bhupal Chitnavis,Consultant Neurosurgeon,Neuro surgery
Bijay Singh,Consultant in Upper Limb Orthopaedics,Orthopaedics
Cherng Jong,Consultant Dermatologist,"Dermatology, Haematology, Rheumatology"
Chris Andrews,Physiotherapist,Physiotherapy and sports health
Corina Moisoiu-Rosca,Consultant Rheumatologist,"Dermatology, Haematology, Rheumatology"
Daniel Neen,Orthopaedic Upper Limb Consultant,Orthopaedics
Deborah McManners,Aesthetic Medicine,Plastic surgery
Deepika Akolekar,Consultant Breast and Oncoplastic Surgeon,Plastic surgery
Deepu Sethi,Consultant Orthopaedic Knee Surgeon,Orthopaedics
Edward Petzer,Consultant Cardiologist,"Audiology, Cardiology"
Emily Reilly,Advanced Dietitian,Bupa health assessments
Esther Tan,LycaHealth Resident GP,Private GP services
Evangelos Fountzopoulos,Cardiology,"Audiology, Cardiology, Endocrinology"
